,ID,BrojKonkurisanja,BrojPregledaOglasa,NacinKonkurisanja,PrimarnaKategorija,StandardizovanaPozicija,Drzava,ImaInostranstvoGrad,Regioni,ImaInostranstvoRegion,Godina,Mesec_proba,Grad,Nadkategorija
205,119213,13,1342,NE,"građevina, geodezija",građevinski inženjer,0,da,,ne,2015,4,0,Tehničke nauke
206,119770,88,3457,NE,"trgovina, prodaja",prodavac,0,da,,ne,2015,4,,Trgovina i usluge
207,119804,4,1729,NE,IT,PHP Developer,0,ne,Inostranstvo,da,2015,4,Beograd,Informacione tehnologije
208,119833,5,1690,NE,IT,C#/C++ Developer,0,da,Inostranstvo,da,2015,5,,Informacione tehnologije
209,119994,13,1478,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,4,0,Trgovina i usluge
210,120061,48,9175,NE,ostalo,mehaničar,0,ne,"Srbija,Inostranstvo",da,2015,5,Srbije i inostranstva,Tehničke nauke
211,120134,257,12488,NE,elektrotehnika,električar,0,ne,"Srbija,Inostranstvo",da,2015,7,0,Tehničke nauke
212,120252,45,1150,NE,zdravstvo,fizioterapeut,0,ne,Inostranstvo,da,2015,12,0,Zdravstvo i farmacija
213,120253,5,355,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,12,0,Trgovina i usluge
214,120254,9,408,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,12,0,Trgovina i usluge
215,120255,18,761,NE,"briga o lepoti, sport",fitnes instruktor,0,ne,Inostranstvo,da,2015,12,0,"Obrazovanje, umetnost i sport"
216,120256,17,1046,NE,zdravstvo,lekar/doktor,0,ne,Inostranstvo,da,2015,12,0,Zdravstvo i farmacija
217,120334,71,2955,NE,menadžment (srednji),Menadžer projekata,0,da,Inostranstvo,da,2015,12,Srbija (daljinski poloĹľaj),Ekonomija
218,120775,219,2946,NE,"građevina, geodezija",poslovođa,0,da,,ne,2015,5,0,Trgovina i usluge
219,121077,61,2719,NE,elektrotehnika,elektroinženjer,0,da,"Inostranstvo,Inostranstvo",da,2015,5,"Novi Sad, inostranstvo",Tehničke nauke
220,121078,65,2953,NE,mašinstvo,mašinski inženjer,0,da,,ne,2015,5,"Novi Sad, inostranstvo",Tehničke nauke
221,121189,2,1483,NE,IT,JavaScript Developer,0,da,Inostranstvo,da,2015,5,Srbija (na daljinu),Informacione tehnologije
222,121761,144,3682,NE,mašinstvo,mašinski inženjer,0,ne,"Inostranstvo,Beograd (Ĺˇiri)",da,2015,3,0,Tehničke nauke
223,121763,198,3500,NE,"rudarstvo, metalurgija",hemijski inženjer,0,ne,"Inostranstvo,Beograd (Ĺˇiri)",da,2015,3,0,Tehničke nauke
224,121765,453,5137,NE,mašinstvo,mašinski tehničar,0,ne,"Inostranstvo,Beograd (Ĺˇiri)",da,2015,3,0,Tehničke nauke
225,122151,49,1170,NE,"briga o lepoti, sport",fizioterapeut,0,ne,Inostranstvo,da,2015,12,0,Zdravstvo i farmacija
226,122152,5,319,NE,"briga o lepoti, sport",kozmetičar,0,ne,Inostranstvo,da,2015,12,0,Trgovina i usluge
227,122153,4,340,NE,"briga o lepoti, sport",frizer,0,ne,Inostranstvo,da,2015,12,0,Trgovina i usluge
