ID;BrojKonkurisanja;BrojPregledaOglasa;PrimarnaKategorija;StandardizovanaPozicija;ImaInostranstvoGrad;Regioni;ImaInostranstvoRegion;Godina;BrojPrijavaSamoIno;DatumObjave;NacinKonkurisanja;Grad;Nadkategorija;Drzava
102122;73;1534;trgovina, prodaja;prodavac;da;;ne;2014;;21.03.2014;NE;0;Trgovina i usluge;0
102142;19;1594;mašinstvo;mašinski inženjer;da;;ne;2014;;21.03.2014;NE;Evropa, Severna Afrika i Bliski Istok;Tehničke nauke;0
102145;26;2231;mašinstvo;mašinski inženjer;da;;ne;2014;;21.03.2014;NE;Evropa, Severna Afrika i Bliski Istok;Tehničke nauke;0
102575;36;1750;briga o lepoti, sport;fizioterapeut;ne;Inostranstvo;da;2014;;02.04.2014;NE;0;Zdravstvo i farmacija;0
102576;3;509;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;02.04.2014;NE;0;Trgovina i usluge;0
102577;13;696;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;02.04.2014;NE;0;Trgovina i usluge;0
102578;22;1027;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;02.04.2014;NE;0;Obrazovanje, umetnost i sport;0
102579;47;1312;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;02.04.2014;NE;0;Zdravstvo i farmacija;0
103187;26;1156;briga o lepoti, sport;fizioterapeut;ne;Inostranstvo;da;2014;;16.04.2014;NE;0;Zdravstvo i farmacija;0
103730;41;4153;zdravstvo;kozmetičar;ne;Inostranstvo;da;2014;;03.05.2014;NE;0;Trgovina i usluge;0
103731;9;607;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;03.05.2014;NE;0;Trgovina i usluge;0
103732;13;798;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;03.05.2014;NE;0;Trgovina i usluge;0
103733;45;1651;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;03.05.2014;NE;0;Obrazovanje, umetnost i sport;0
103734;31;1373;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;03.05.2014;NE;0;Zdravstvo i farmacija;0
103956;80;3097;građevina, geodezija;menadžer plana i analize;da;;ne;2014;;08.05.2014;NE;Evropa, Severna Afrika i Bliski Istok;Ekonomija;0
104986;256;5710;farmacija;prodajni medicinski predstavnik;ne;Inostranstvo,Inostranstvo,Inostranstvo;da;2014;;03.06.2014;NE;Beograd, Kragujevac, NiĹˇ, Podgorica, Bijeljina;Trgovina i usluge;0
105084;41;1709;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;05.06.2014;NE;0;Zdravstvo i farmacija;0
105085;5;453;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;05.06.2014;NE;0;Trgovina i usluge;0
105087;5;672;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;05.06.2014;NE;0;Trgovina i usluge;0
105088;23;1112;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;05.06.2014;NE;0;Obrazovanje, umetnost i sport;0
105089;29;1272;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;05.06.2014;NE;0;Zdravstvo i farmacija;0
105161;244;5883;mašinstvo;mašinski inženjer;ne;Srbija,Inostranstvo;da;2014;;06.06.2014;NE;0;Tehničke nauke;0
105762;86;1872;obezbeđenje, zaštita na radu;inženjer zaštite na radu;da;;ne;2014;;20.06.2014;NE;Inostranstvo;Trgovina i usluge;0
106218;13;1900;IT;Embedded Software Developer;da;;ne;2014;;03.07.2014;NE;Inostranstvo;Informacione tehnologije;0
106261;45;1499;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;06.07.2014;NE;0;Zdravstvo i farmacija;0
106262;9;617;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;06.07.2014;NE;0;Trgovina i usluge;0
106263;8;718;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;06.07.2014;NE;0;Trgovina i usluge;0
106264;38;1337;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;06.07.2014;NE;0;Obrazovanje, umetnost i sport;0
106265;25;1483;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;06.07.2014;NE;0;Zdravstvo i farmacija;0
106298;41;4440;saobraćaj, logistika;vozač;ne;Inostranstvo;da;2014;;07.07.2014;NE;0;Trgovina i usluge;0
106340;138;2569;ugostiteljstvo;konobar;da;;ne;2014;;09.07.2014;NE;Inostranstvo;Turizam i ugostiteljstvo;0
106954;93;2364;elektrotehnika;elektroinženjer;da;;ne;2014;;23.07.2014;NE;0;Tehničke nauke;0
106974;63;3995;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;23.07.2014;NE;Biti?;Tehničke nauke;0
107349;29;3991;transport, magacin;vozač;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Trgovina i usluge;0
107376;43;1544;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Zdravstvo i farmacija;0
107377;5;461;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Trgovina i usluge;0
107378;7;565;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Trgovina i usluge;0
107379;28;1083;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Obrazovanje, umetnost i sport;0
107380;15;1363;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;06.08.2014;NE;0;Zdravstvo i farmacija;0
107588;46;3512;ugostiteljstvo;recepcioner;da;;ne;2014;;20.08.2014;NE;Inostranstvo;Turizam i ugostiteljstvo;0
107590;111;2352;ugostiteljstvo;konobar;da;;ne;2014;;20.08.2014;NE;Inostranstvo;Turizam i ugostiteljstvo;0
108757;40;1451;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;06.09.2014;NE;0;Zdravstvo i farmacija;0
108758;11;553;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;06.09.2014;NE;0;Trgovina i usluge;0
108759;7;3471;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;06.09.2014;NE;0;Trgovina i usluge;0
108761;27;1233;briga o lepoti, sport;fizioterapeut;ne;Inostranstvo;da;2014;;06.09.2014;NE;0;Zdravstvo i farmacija;0
108762;20;1079;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;06.09.2014;NE;0;Zdravstvo i farmacija;0
108919;36;4817;transport, magacin;vozač;da;;ne;2014;;09.09.2014;NE;0;Trgovina i usluge;0
108955;88;2553;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2014;;10.09.2014;NE;Inostranstvo;Tehničke nauke;0
108957;19;1568;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2014;;10.09.2014;NE;Inostranstvo;Tehničke nauke;0
108959;30;1333;IT;System Administrator / Engineer;ne;Inostranstvo;da;2014;;10.09.2014;NE;Inostranstvo;Informacione tehnologije;0
109234;44;1626;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2014;;16.09.2014;NE;Inostranstvo;Tehničke nauke;0
109504;46;3005;ugostiteljstvo;recepcioner;da;;ne;2014;;23.09.2014;NE;Inostranstvo;Turizam i ugostiteljstvo;0
109505;118;2864;ugostiteljstvo;konobar;da;;ne;2014;;23.09.2014;NE;Inostranstvo;Turizam i ugostiteljstvo;0
109895;411;24247;marketing, PR;promoter;ne;Srbija,Inostranstvo;da;2014;246.0;02.10.2014;NE;0;Ekonomija;0
109974;0;1760;ekonomija (opšte);Direktor;da;;ne;2014;;02.10.2014;A;0;Ekonomija;0
110109;36;1684;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;07.10.2014;NE;0;Zdravstvo i farmacija;0
110110;11;741;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;07.10.2014;NE;0;Trgovina i usluge;0
110111;8;793;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;07.10.2014;NE;0;Trgovina i usluge;0
110112;26;1628;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;07.10.2014;NE;0;Obrazovanje, umetnost i sport;0
110113;18;1307;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;07.10.2014;NE;0;Zdravstvo i farmacija;0
110208;132;14727;elektrotehnika;System Administrator / Engineer;ne;Srbija,Inostranstvo;da;2014;;07.10.2014;NE;Ceo svet;Informacione tehnologije;0
110368;3;1104;obrazovanje, briga o deci;nastavnik;ne;Inostranstvo;da;2014;;13.10.2014;NE;0;Obrazovanje, umetnost i sport;0
110426;20;2575;saobraćaj, logistika;Menadžer projekata;ne;Inostranstvo;da;2014;;13.10.2014;NE;Inostranstvo;Ekonomija;0
110428;36;3637;transport, magacin;vozač;da;;ne;2014;;15.10.2014;NE;0;Trgovina i usluge;0
110697;47;5576;trgovina, prodaja;komercijalista;ne;Srbija,Inostranstvo;da;2014;17.0;15.10.2014;NE;0;Trgovina i usluge;0
110985;0;17063;menadžment (srednji);Menadžer prodaje i izvoza;ne;Srbija,Inostranstvo;da;2014;;22.10.2014;X;Beograd, Srbija, inostranstvo;Trgovina i usluge;0
111167;0;1338;ugostiteljstvo;menadžer ugostiteljstva;ne;Inostranstvo;da;2014;;28.10.2014;X;0;Turizam i ugostiteljstvo;0
111313;0;4353;mašinstvo;mašinski inženjer;ne;Inostranstvo;da;2014;;30.10.2014;X;0;Tehničke nauke;0
111672;51;1574;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;07.11.2014;NE;0;Zdravstvo i farmacija;0
111673;7;580;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;07.11.2014;NE;0;Trgovina i usluge;0
111674;7;636;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;07.11.2014;NE;0;Trgovina i usluge;0
111675;29;1186;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;07.11.2014;NE;0;Obrazovanje, umetnost i sport;0
111676;17;1066;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;07.11.2014;NE;0;Zdravstvo i farmacija;0
111736;0;1001;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;07.11.2014;A;0;Tehničke nauke;0
111737;0;948;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;07.11.2014;A;0;Tehničke nauke;0
111738;0;817;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;07.11.2014;A;0;Tehničke nauke;0
111739;0;1418;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;07.11.2014;A;0;Tehničke nauke;0
111740;0;1288;građevina, geodezija;građevinski inženjer;ne;Inostranstvo;da;2014;;07.11.2014;A;0;Tehničke nauke;0
111744;1;1650;IT;Software Developer / Programmer / Engineer;ne;Inostranstvo;da;2014;;07.11.2014;NE;Inostranstvo;Informacione tehnologije;0
112287;152;3511;elektrotehnika;Elektrotehničar;ne;Inostranstvo;da;2014;;21.11.2014;NE;Inostranstvo;Tehničke nauke;0
112289;43;1651;telekomunikacije;Inženjer telekomunikacija;ne;Inostranstvo;da;2014;;21.11.2014;NE;Inostranstvo;Tehničke nauke;0
112621;25;3897;transport, magacin;vozač;ne;Inostranstvo;da;2014;;28.11.2014;NE;0;Trgovina i usluge;0
112678;66;2245;elektrotehnika;serviser;ne;Inostranstvo;da;2014;;01.12.2014;N;Novom Sadu i inostranstvu;Tehničke nauke;0
112909;38;1519;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2014;;08.12.2014;NE;0;Zdravstvo i farmacija;0
112910;6;411;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2014;;08.12.2014;NE;0;Trgovina i usluge;0
112912;2;507;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2014;;08.12.2014;NE;0;Trgovina i usluge;0
112913;25;1041;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2014;;08.12.2014;NE;0;Obrazovanje, umetnost i sport;0
112914;13;1007;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2014;;08.12.2014;NE;0;Zdravstvo i farmacija;0
112945;40;2000;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2014;;05.12.2014;NE;Ĺ irom sveta, Bliski Istok;Tehničke nauke;0
113530;85;4041;mašinstvo;mašinski tehničar;da;;ne;2014;64.0;23.12.2014;NE;0;Tehničke nauke;0
113767;60;2055;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2015;;08.01.2015;NE;0;Zdravstvo i farmacija;0
113768;8;583;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2015;;08.01.2015;NE;0;Trgovina i usluge;0
113769;8;707;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2015;;08.01.2015;NE;0;Trgovina i usluge;0
113770;38;1362;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2015;;08.01.2015;NE;0;Obrazovanje, umetnost i sport;0
113771;14;1298;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2015;;08.01.2015;NE;0;Zdravstvo i farmacija;0
113988;107;1872;ugostiteljstvo;ostale ugostiteljske pozicije;ne;Inostranstvo;da;2015;;12.01.2015;NE;0;Turizam i ugostiteljstvo;0
114952;3;873;telekomunikacije;inženjer telekomunikacija;ne;Inostranstvo;da;2015;;28.01.2015;NE;srednji Istok;Tehničke nauke;0
115270;43;2433;elektrotehnika;elektroinženjer;ne;Inostranstvo;da;2015;;04.02.2015;NE;0;Tehničke nauke;0
115550;44;1593;zdravstvo;fizioterapeut;ne;Inostranstvo;da;2015;;08.02.2015;NE;0;Zdravstvo i farmacija;0
115551;6;451;briga o lepoti, sport;kozmetičar;ne;Inostranstvo;da;2015;;08.02.2015;NE;0;Trgovina i usluge;0
115552;10;607;briga o lepoti, sport;frizer;ne;Inostranstvo;da;2015;;08.02.2015;NE;0;Trgovina i usluge;0
115554;25;1361;briga o lepoti, sport;fitnes instruktor;ne;Inostranstvo;da;2015;;08.02.2015;NE;0;Obrazovanje, umetnost i sport;0
115555;19;1246;zdravstvo;lekar/doktor;ne;Inostranstvo;da;2015;;08.02.2015;NE;0;Zdravstvo i farmacija;0
115631;0;7157;IT;PHP Developer;ne;Srbija,Inostranstvo;da;2015;;06.02.2015;X;0;Informacione tehnologije;0
115636;0;6202;IT;System Administrator / Engineer;ne;Srbija,Inostranstvo;da;2015;;09.02.2015;X;0;Informacione tehnologije;0
115638;0;6042;IT;Python Developer;ne;Srbija,Inostranstvo;da;2015;;09.02.2015;X;0;Informacione tehnologije;0
115736;20;1154;mašinstvo;mašinski inženjer;ne;Inostranstvo;da;2015;;12.02.2015;NE;srednji Istok;Tehničke nauke;0
115737;39;1704;mašinstvo;zavarivač / varilac;ne;Inostranstvo;da;2015;;12.02.2015;NE;srednji Istok;Tehničke nauke;0
115990;0;1250;elektrotehnika;Direktor;ne;Inostranstvo;da;2015;;13.02.2015;X;Njenoj? (Beh);Ekonomija;0
116003;0;30;marketing, PR;.NET Developer;ne;Inostranstvo;da;2015;;12.02.2015;NE;0;Informacione tehnologije;0
